AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Label
9.143572,3.660806,-0.825343,-0.107234,-0.346874,-0.850084,R1
8.803561,2.676371,-0.507567,-0.122469,-0.32919,-0.78809,R1
8.46355,1.691936,-0.18979,-0.137705,-0.311506,-0.726096,R1
8.304505,1.348457,-0.019313,-0.134353,-0.320074,-0.714805,R1
8.145461,1.004977,0.151165,-0.131001,-0.328643,-0.703515,R1
7.986417,0.661497,0.321643,-0.127649,-0.337211,-0.692224,R1
10.25182,2.72347,1.026408,-0.12522,-0.517482,-0.57363,R1
10.060371,3.149524,1.316975,-0.145164,-0.506774,-0.510452,R1
10.039458,2.738525,1.362099,-0.189261,-0.494584,-0.47735,R1
10.018545,2.327526,1.407223,-0.233357,-0.482395,-0.444248,R1
9.997631,1.916528,1.452348,-0.277454,-0.470205,-0.411146,R1
9.976718,1.505529,1.497472,-0.32155,-0.458015,-0.378044,R1
9.936132,1.483154,1.652512,-0.100865,-0.473207,-0.476137,R1
9.868927,1.57538,1.80401,-0.147949,-0.479232,-0.454081,R1
9.801721,1.667605,1.955509,-0.195033,-0.485258,-0.432024,R1
9.617737,1.826447,1.9375,-0.207351,-0.493217,-0.407871,R1
9.433754,1.985288,1.919491,-0.219668,-0.501177,-0.383717,R1
9.249771,2.144129,1.901482,-0.231985,-0.509136,-0.359563,R1
11.775093,7.355566,0.89987,0.194261,-0.442397,-0.757836,R1
11.828896,8.308043,1.299914,0.122887,-0.435082,-0.652881,R1
12.116008,6.981088,1.283976,0.121533,-0.424008,-0.643683,R1
12.40312,5.654133,1.268037,0.120178,-0.412934,-0.634485,R1
12.690233,4.327179,1.252098,0.118824,-0.401859,-0.625287,R1
12.977345,3.000224,1.236159,0.117469,-0.390785,-0.61609,R1
8.827785,2.242504,0.534829,0.110507,-0.475153,-0.949618,R1
9.094559,3.06263,0.752776,0.090779,-0.472026,-0.927215,R1
9.361332,3.882755,0.970722,0.071051,-0.468898,-0.904811,R1
9.628106,4.702881,1.188669,0.051323,-0.46577,-0.882408,R1
9.89488,5.523006,1.406616,0.031594,-0.462643,-0.860005,R1
10.017084,5.959682,0.923036,-0.00117,-0.455562,-0.883294,R1
10.181438,2.485105,2.101748,-0.098753,-0.642611,-0.423774,R1
10.123344,2.725615,1.998887,-0.090309,-0.641145,-0.430682,R1
10.065251,2.966124,1.896027,-0.081865,-0.63968,-0.43759,R1
10.007158,3.206633,1.793167,-0.073422,-0.638215,-0.444498,R1
9.949064,3.447143,1.690306,-0.064978,-0.636749,-0.451405,R1
10.038648,3.142681,1.419925,-0.081136,-0.606423,-0.46049,R1
10.457889,3.604822,0.85087,0.147199,-0.479704,-0.403907,R1
10.277701,3.283992,0.574948,0.093931,-0.481375,-0.417744,R1
10.097515,2.963163,0.299025,0.040663,-0.483046,-0.43158,R1
9.917328,2.642333,0.023102,-0.012604,-0.484718,-0.445416,R1
9.737141,2.321504,-0.25282,-0.065872,-0.486389,-0.459253,R1
9.716566,1.984885,0.022783,-0.052892,-0.476561,-0.507274,R1
10.759987,9.201364,-0.525292,-0.342052,-0.22252,-0.597118,R1
10.699848,10.997614,-0.391836,-0.339934,-0.182252,-0.492034,R1
11.170901,9.82711,-0.593295,-0.309352,-0.152879,-0.554505,R1
11.641954,8.656606,-0.794754,-0.278771,-0.123507,-0.616975,R1
12.113008,7.486102,-0.996213,-0.248189,-0.094134,-0.679445,R1
12.584062,6.315598,-1.197672,-0.217607,-0.064762,-0.741915,R1
10.088953,3.758016,-0.496843,0.397562,-0.51137,-1.005348,R1
10.089642,3.882706,-0.38802,0.402995,-0.435206,-0.935352,R1
10.09033,4.007397,-0.279196,0.408428,-0.359042,-0.865356,R1
9.833755,3.721598,-0.07384,0.281645,-0.364105,-0.804798,R1
9.577179,3.435798,0.131517,0.154862,-0.369168,-0.74424,R1
9.320603,3.149999,0.336874,0.028078,-0.37423,-0.683683,R1
8.892402,5.018826,1.016784,0.204818,-0.35829,-0.862979,R1
8.704329,5.810534,1.293908,0.130523,-0.36765,-0.85513,R1
9.020761,6.007253,0.927995,0.123764,-0.376337,-0.883146,R1
9.337194,6.203972,0.562081,0.117004,-0.385024,-0.911162,R1
9.653627,6.400691,0.196168,0.110245,-0.393712,-0.939178,R1
9.970059,6.59741,-0.169745,0.103486,-0.402399,-0.967193,R1
9.583654,0.764629,1.990332,-0.207079,-0.565599,-0.594082,R1
9.341399,1.043632,2.214751,-0.205852,-0.56889,-0.6107,R1
9.099144,1.322635,2.439171,-0.204625,-0.572181,-0.627318,R1
9.408348,1.552307,2.060878,-0.205578,-0.561244,-0.6595,R1
9.717552,1.781978,1.682585,-0.20653,-0.550307,-0.691682,R1
10.026757,2.011649,1.304291,-0.207483,-0.53937,-0.723864,R1
8.485242,5.884272,0.282984,-0.087871,-0.468214,-0.731122,R1
8.46598,6.609255,0.163439,-0.104688,-0.452621,-0.719796,R1
8.521538,5.483573,-0.008114,-0.086001,-0.423555,-0.693083,R1
8.577095,4.357891,-0.179666,-0.067314,-0.39449,-0.666371,R1
8.632653,3.232209,-0.351219,-0.048627,-0.365424,-0.639659,R1
8.688211,2.106527,-0.522771,-0.02994,-0.336359,-0.612947,R1
9.417117,5.744622,1.707918,-0.271783,-0.510304,-0.630474,R1
9.657422,6.520538,2.215805,-0.285744,-0.515199,-0.594227,R1
9.633441,6.171008,1.89695,-0.292777,-0.50491,-0.569964,R1
9.60946,5.821479,1.578095,-0.29981,-0.494621,-0.545701,R1
9.585479,5.471949,1.259241,-0.306843,-0.484332,-0.521439,R1
9.561498,5.122419,0.940386,-0.313876,-0.474043,-0.497176,R1
8.846174,2.873064,1.117718,-0.184402,-0.31071,-0.847242,R1
9.504815,2.908859,1.067598,-0.132129,-0.308754,-0.790096,R1
10.163456,2.944655,1.017479,-0.079855,-0.306799,-0.73295,R1
10.822097,2.980452,0.96736,-0.027581,-0.304843,-0.675803,R1
11.480738,3.016248,0.91724,0.024692,-0.302888,-0.618657,R1
10.674686,2.820693,1.040945,0.006896,-0.32222,-0.605828,R1
10.007636,5.568825,2.070419,-0.251462,-0.350852,-0.573865,R1
10.097546,6.59462,2.159775,-0.279206,-0.348665,-0.551308,R1
10.187456,7.620416,2.249132,-0.30695,-0.346479,-0.528752,R1
10.292142,6.197444,1.7182,-0.282755,-0.339751,-0.523394,R1
10.396828,4.774473,1.187269,-0.25856,-0.333022,-0.518036,R1
10.501513,3.351502,0.656338,-0.234365,-0.326294,-0.512679,R1
10.030277,4.300198,1.307833,0.182479,-0.470018,-0.590026,R1
9.57757,3.37787,0.898014,0.181388,-0.458571,-0.551675,R1
9.124863,2.455542,0.488194,0.180296,-0.447123,-0.513323,R1
8.672155,1.533214,0.078375,0.179205,-0.435676,-0.474972,R1
8.636839,1.332698,-0.120157,0.166269,-0.417369,-0.479828,R1
8.601522,1.132182,-0.318688,0.153333,-0.399062,-0.484685,R1
11.603147,0.045157,0.836359,0.034524,-0.44122,-0.425114,R1
11.081281,-0.299153,1.075908,0.043159,-0.434976,-0.430992,R1
10.86067,0.396257,1.356488,0.043414,-0.4348,-0.413355,R1
10.640059,1.091667,1.637068,0.043669,-0.434624,-0.395718,R1
10.419448,1.787077,1.917647,0.043923,-0.434448,-0.378081,R1
10.198837,2.482488,2.198227,0.044178,-0.434272,-0.360444,R1
8.984204,5.505633,-1.268419,0.194427,-0.571203,-1.021096,R1
9.272831,4.553736,-0.951882,0.164677,-0.529187,-0.924673,R1
9.561457,3.601839,-0.635345,0.134928,-0.487171,-0.82825,R1
9.850082,2.649942,-0.318808,0.105178,-0.445155,-0.731828,R1
9.716879,2.258656,0.148214,0.126017,-0.422717,-0.751265,R1
9.583675,1.867369,0.615235,0.146856,-0.40028,-0.770702,R1
12.187463,4.86486,1.025669,-0.335136,-0.447351,-0.502885,R1
11.740328,4.436427,0.872395,-0.370677,-0.453243,-0.507969,R1
11.293194,4.007994,0.71912,-0.406217,-0.459135,-0.513052,R1
10.846059,3.579561,0.565846,-0.441758,-0.465028,-0.518136,R1
10.398924,3.151129,0.412572,-0.477299,-0.47092,-0.523219,R1
10.186557,3.220949,0.584018,-0.482061,-0.453515,-0.52271,R1
10.428158,2.587586,0.999445,-0.242821,-0.38415,-0.344672,R1
10.660534,2.725548,1.544,-0.256702,-0.384008,-0.279623,R1
10.892911,2.86351,2.088556,-0.270583,-0.383865,-0.214573,R1
10.757064,3.063242,2.0137,-0.273441,-0.380572,-0.247396,R1
10.621217,3.262973,1.938844,-0.276299,-0.37728,-0.280218,R1
10.48537,3.462705,1.863988,-0.279157,-0.373987,-0.313041,R1
8.568415,1.046941,2.988311,-0.386628,-0.424591,-0.619879,R1
8.755098,0.96931,3.317944,-0.333528,-0.417148,-0.601856,R1
9.08298,1.069479,2.914322,-0.328746,-0.422247,-0.594961,R1
9.410862,1.169648,2.5107,-0.323964,-0.427346,-0.588066,R1
9.738745,1.269818,2.107078,-0.319182,-0.432445,-0.581171,R1
10.066627,1.369987,1.703456,-0.3144,-0.437544,-0.574276,R1
9.368513,1.129673,1.699766,-0.28979,-0.538679,-0.392856,R1
9.315731,1.190057,1.806608,-0.305597,-0.536308,-0.382889,R1
9.26295,1.250441,1.913449,-0.321404,-0.533938,-0.372923,R1
9.469193,1.186864,1.633333,-0.325973,-0.516715,-0.404126,R1
9.675438,1.123287,1.353217,-0.330542,-0.499492,-0.435328,R1
9.881681,1.059711,1.073102,-0.335111,-0.48227,-0.466531,R1
8.014631,3.416645,0.698663,0.19399,-0.585299,-0.613017,R1
7.650472,3.525978,0.199128,0.239465,-0.576636,-0.624803,R1
8.148241,3.481699,0.004727,0.123196,-0.549546,-0.621771,R1
8.646011,3.437421,-0.189674,0.006927,-0.522455,-0.618738,R1
9.143782,3.393142,-0.384075,-0.109342,-0.495365,-0.615706,R1
9.641551,3.348863,-0.578477,-0.225611,-0.468274,-0.612674,R1
10.173818,2.163298,2.07063,-0.453678,-0.39759,-0.598117,R1
9.875059,1.92247,2.332321,-0.410503,-0.424923,-0.574243,R1
9.576302,1.681642,2.594012,-0.367329,-0.452255,-0.550368,R1
9.397387,1.674428,2.274109,-0.385844,-0.461101,-0.601875,R1
9.218472,1.667213,1.954206,-0.404358,-0.469946,-0.653381,R1
9.039558,1.659999,1.634303,-0.422873,-0.478792,-0.704888,R1
